source,grade,value_mean,value_std,value_p90,value_p95,saturation_mean,saturation_std,gray_mean,gray_std,hue_sin,hue_cos,chromatic_fraction,yellow_candidate_ratio,lab_L_mean,lab_L_std,lab_a_mean,lab_a_std,lab_b_mean,lab_b_std,highlight_candidate_ratio,highlight_largest_ratio,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_entropy,lbp_entropy,edge_density_proxy,lbp_00,lbp_01,lbp_02,lbp_03,lbp_04,lbp_05,lbp_06,lbp_07,lbp_08,lbp_09,lbp_10,lbp_11,lbp_12,lbp_13,lbp_14,lbp_15,lbp_16,lbp_17
1000094977_jpg,A,151.77671125921634,40.27970705930132,202.0,209.5,18.25123716153128,19.18801657420915,148.4930724588686,42.39962548058804,-0.1455328158013714,-0.28905515960654005,0.09887653337196947,0.033061270485205574,61.08194351196289,16.566819190979004,-1.2945063412189484,1.3977642059326172,1.2199966311454773,4.745931386947632,0.023483330113654655,0.0074463118580765635,1.5747133903350494,0.6450638451620668,0.18454777805581118,5.45762142509032,3.7837274417243303,0.2830610692552883,0.06583478218873756,0.029872178756560095,0.031126243600888632,0.02800134421584726,0.03172067677645771,0.03660331948871502,0.04379447181171319,0.06690733764770276,0.07987720950449145,0.06873873112463377,0.048065576805434815,0.03531585047812229,0.0344610257896262,0.0304726488296468,0.029702541936314757,0.026970845809588202,0.05628702630477478,0.25624818893074475
1000094978_jpg,A,151.50187573677277,37.89571850939477,201.0,212.0,25.986281291172595,29.195307199285576,146.54019875528743,40.94926111632185,-0.04225679482660886,-0.21700825493039616,0.1681246099438319,0.06743767769225435,60.3920955657959,15.943613529205322,-1.2969598770141602,1.6927228569984436,1.331482172012329,7.092747211456299,0.025791163927605575,0.006161370570695514,1.9351659035129307,0.6281330158583666,0.17464862823991614,5.590061762627056,3.669609469591779,0.29498474446987033,0.0695502652381943,0.03789525691699605,0.03314307260245475,0.029202421815408088,0.02776831530407045,0.02811048124263227,0.03954801158033423,0.05068194820054088,0.06032587025865058,0.05416840024963594,0.04171434019832189,0.03043348242146869,0.029011077595173705,0.031448061854240345,0.032611512724499,0.031272319880729496,0.06708814402607309,0.30602701789057624
1000094979_jpg,A,153.3297435523903,35.56439808842511,196.5,204.5,24.121034919807627,28.214289867756875,148.47611752662493,39.2633438195151,-0.1502427513018095,-0.23894096525346814,0.15925334989981973,0.06245471861787913,61.18798637390137,15.375368595123291,-1.2971787452697754,1.8273903727531433,1.244772493839264,7.181666851043701,0.012945496834324038,0.0029427934009636707,1.9673453850939553,0.6119533475103365,0.18395688710821362,5.51390467575396,3.4030818906036475,0.3117273998407233,0.08349958688000525,0.04538530291044121,0.03527310169432996,0.02548759116200934,0.022908245899881934,0.021880332823686288,0.027424948459288036,0.029745188871634014,0.033695995623130685,0.02944113007683125,0.029415766024518154,0.025020109567072665,0.024648464938260714,0.029463761965819117,0.03617708158876255,0.04405895028257047,0.07500398135346414,0.3814704598782942
1000094980_jpg,A,143.78448872953692,38.00406951101107,193.1500000000001,203.5,20.8630552816906,21.576747932643144,139.85229436050972,40.43752602632681,-0.2651488733020815,-0.3148259476218299,0.1304194179192857,0.038431596265589195,57.71986770629883,15.958972454071045,-1.0542413294315338,1.6556679606437683,0.7273914813995361,5.324386119842529,0.02268385864374403,0.0027459407831900667,2.5919065082135657,0.5742152056958615,0.16254485875590266,5.814979641399005,3.4036495208068773,0.32732504390035166,0.07841749600893241,0.04533839780927828,0.0308411220156065,0.026144136967241424,0.021546545877839093,0.02647189347602641,0.02644964871368212,0.03243175010006664,0.03789772196932626,0.03688179277104141,0.029289068529455592,0.021843892706297323,0.02473738190791494,0.025909024442609813,0.033222981683305466,0.04295062321519996,0.0775558652038845,0.3820706566022919
1000094981_jpg,A,143.79596057872806,41.0077729693684,194.5,202.5,29.509222763242015,31.886534170553013,138.3372861087539,45.11844910001963,-0.2831972044613459,-0.4507474631437034,0.24792933645393417,0.06421399170364796,57.13582992553711,17.91666316986084,-1.4668903648853302,1.985391616821289,0.8014289140701294,7.308891534805298,0.011328740977612158,0.0031086495253415765,3.5264065635927784,0.5337715928903755,0.14561508676514828,6.154083906700799,3.3492947970446716,0.33467643037774664,0.09080009138711742,0.04517166621000582,0.03198643307139801,0.026471237804437456,0.02469557873411887,0.021393471425845873,0.0233209255814733,0.028662248262029677,0.03252900973831705,0.029225528718864788,0.023868741975318963,0.021908730864742945,0.021223464855189056,0.029470873535481605,0.03903194259206033,0.04146580556170128,0.08287061834704317,0.3859036313348544
1000094985_jpg,B,147.83229647923622,47.148734291539085,215.0,225.5,40.40579754698646,38.50598045027246,139.35446850349967,50.41416544816515,0.05775323324022358,-0.020624919578599164,0.35357660521655004,0.1552559045841394,57.23141860961914,19.753071784973145,-0.8656162917613983,2.6316046714782715,2.732641577720642,8.615881443023682,0.0773805927361171,0.014871275086377238,6.583071193946308,0.4264519412967725,0.11376176622330088,6.749002346104931,3.0477038700601886,0.3571971841084478,0.09675988976143046,0.05685298069001142,0.031113090910974153,0.019097333830481164,0.01646089922554453,0.01581929286882548,0.015340990648448032,0.018883039050654825,0.023590234135560648,0.017075971673189555,0.015446713502453347,0.015807694773305368,0.01795074229692365,0.017926800273865305,0.03081193111475576,0.05190821059716973,0.0892079419363421,0.4485756163819736
1000094986_jpg,B,152.62793758225231,46.32908536853686,213.0,222.0,43.73298276365761,41.61092952002272,142.2801278435796,49.8181898130201,-0.05482800665111595,-0.13406986798461817,0.4024247735904178,0.16126205083260298,58.349700927734375,20.200101852416992,-0.7087918519973755,2.8698840141296387,0.5942685008049011,9.537873268127441,0.06643587207385426,0.01335428122545169,5.877204767390898,0.4299505698864424,0.1106841762849169,6.740538356233951,3.106123999830955,0.3594127111826227,0.09400263207369806,0.05711255870322678,0.02954341987466428,0.019525547445255476,0.017883211678832115,0.01533135509396637,0.01782062518258837,0.020606660072535442,0.021897810218978103,0.020112100230794593,0.018853102906520033,0.017421602787456445,0.017617121231893514,0.018697049371895997,0.03169734151329243,0.05358150028200789,0.08881098451650599,0.4394160583941606
1000094987-1-_jpg,C,155.9023091380712,60.389461926207765,234.0,241.5,79.53563833498791,65.91857871119575,139.946334553378,65.39259982489017,-0.018892119254008178,0.008235969258878437,0.664808979486545,0.30596599521477813,57.350576400756836,26.135732650756836,-0.2604227364063263,5.415122747421265,2.5566511154174805,18.938023567199707,0.1834690421592042,0.10981802364816667,7.097617924880325,0.4270678969652405,0.10027497784034041,7.029675023860195,3.040705812680452,0.348751404790152,0.09804014493702569,0.06131243213897937,0.027703704523324775,0.018083063787461183,0.016117941546632614,0.014500503030973355,0.01610323037440301,0.019099080886540172,0.019134296893749334,0.018710941918895573,0.014252664486656158,0.016110748128436662,0.015505531385010212,0.019090091418772406,0.029771495358226895,0.057809981955860484,0.10080586118344334,0.4392572682474962
1000094990_jpg,C,169.0451605187215,52.86660514526395,232.9000000000001,243.0,40.2397064555874,38.14110434502848,158.61329677844344,55.10926267335914,0.1795392489264257,0.08684767657126616,0.30715822754249655,0.15489313031707166,64.57282638549805,21.33926296234131,-0.6430673897266388,3.0960100889205933,3.044636607170105,10.668774604797363,0.17119638469177303,0.05433019484270819,6.952702829667018,0.4306648434431073,0.11450558838620353,6.749666948145939,3.012291986935579,0.3610133151652343,0.09424914120014471,0.05686508710052846,0.029835881553295432,0.019591594794859356,0.015572452529265386,0.015493374018484052,0.01649883780966702,0.017744732556213456,0.022149553465171015,0.01956083400268862,0.01450868779920713,0.014885784208663752,0.015422588571012632,0.021083570829589778,0.031655776979143055,0.055688916833440065,0.08522354101185156,0.45211738879046703
WIN_20260823_19_55_42_Pro_jpg,A,156.1716495612078,40.56838460674553,203.0,211.0,29.601922249318605,32.98888571513338,150.2633728846528,48.06061117862418,-0.0674569875703836,-0.19947974535310095,0.21163197821435517,0.08578097646372301,61.8834114074707,19.160837173461914,-1.8224445581436157,2.0287258625030518,2.587337017059326,7.994265079498291,0.020824036888293915,0.0025286909161641702,3.3003390290338483,0.534429490280699,0.157475864044746,5.984421897797901,3.0902089139703826,0.3293172690763052,0.09395059326979187,0.0550476560980354,0.026825419595466936,0.0165337482979965,0.012940651494868362,0.013981853339283059,0.02159113013032484,0.023925306360630227,0.024960550853536077,0.02256370355961875,0.016144718926278934,0.018218333094247596,0.01621300014874312,0.01963409192324855,0.032276574379572515,0.04823964209297802,0.090804762587864,0.4460221746741879
