image,source,split,original_sha256,crop_top_px,width,height,annotations,physical_fish_id
1000094977_jpg.rf.08b8b35c172abd099098436be0f7a31e.png,1000094977_jpg,train,a78d74d69ce73f35d9c3683ff11ddcf92521fed9d055ba96f5a8f761bd123fc7,140,640,360,6,UNKNOWN
1000094978_jpg.rf.78fecc7a96dc8b5e9a8dd522d1342b5d.png,1000094978_jpg,train,6aa3542423081077164155b426ec877575f172ed91d311e9eb142ffdcf0d652b,140,640,360,6,UNKNOWN
1000094979_jpg.rf.19b619f556da6ce076aa19901f733558.png,1000094979_jpg,train,7594495d1dd6042ad3682744920f800569d2d21efbe9e242d94451283c89cc63,140,640,360,6,UNKNOWN
1000094980_jpg.rf.295f4943c56a571b6f5484592f2cac47.png,1000094980_jpg,train,0426759ed53670172c57bcad46a5e688fee5fe45a619414817cf1ea79ca400d2,140,640,360,4,UNKNOWN
1000094981_jpg.rf.f925c58c0f5f2a7a354ab159950af0c5.png,1000094981_jpg,train,e3b6ae3780b1b86f4621b31e2ece545caca744ca0d7808a69a141985762fc90b,140,640,360,5,UNKNOWN
1000094985_jpg.rf.a8555a32cd5cbb7f6027f4efeab0f06a.png,1000094985_jpg,train,63e157ebd6732dce8cf012c61c2bcae0eb503b53df8d9731184567c9eba66a5a,140,640,360,18,UNKNOWN
1000094986_jpg.rf.1cd692434a837c2075f143b18192eb3f.png,1000094986_jpg,train,64b06240eaeb0a06fafc25b9f7b8237e59e6e9f2ff3fb6d412747ff4efe118d0,140,640,360,19,UNKNOWN
1000094987-1-_jpg.rf.3ba341de0fca2bfc23d6defeb2f03d9f.png,1000094987-1-_jpg,train,b725cce7cce790870a99a0d59da0a78eec20853782ca97f40b86f20ace86d970,140,640,360,11,UNKNOWN
1000094990_jpg.rf.1d4ba0e4514295e0bbc975df3d78bde5.png,1000094990_jpg,train,6ffa3204a2a396aa07b21632317f06e513f14cd90a4f9e6ae4a7e8b1b9b19e45,140,640,360,12,UNKNOWN
WIN_20260823_19_55_42_Pro_jpg.rf.1a61ccfcbef13f255712acf092635940.png,WIN_20260823_19_55_42_Pro_jpg,train,b493dd73bfc6325a988650b6c0cbfde025745ab935dbfdedb802f2c489a84afe,140,640,360,9,UNKNOWN
WIN_20260823_20_08_46_Pro_jpg.rf.224baa173f829c014abae4b8acf70df0.png,WIN_20260823_20_08_46_Pro_jpg,train,6c990bfd502177e640784478c9fd26df540b6ca413abe6fad20bdd06a5e602f0,140,640,360,6,UNKNOWN
WIN_20260823_20_09_56_Pro_jpg.rf.50dd1be2478982a1aa34ec5cd47279bd.png,WIN_20260823_20_09_56_Pro_jpg,train,a9e35e14b158d55d18eb40961437ff66dabc8b604b452facd8d11e7f20892a91,140,640,360,4,UNKNOWN
WIN_20260823_20_10_03_Pro_jpg.rf.538f8c9d25d95b3936035d6b20bf4537.png,WIN_20260823_20_10_03_Pro_jpg,train,66a9a22ef0703a97a33485173a0d3e657ebc35750872130966149575009e66b1,140,640,360,5,UNKNOWN
WIN_20260823_20_10_07_Pro_jpg.rf.1189821d2d438ac1059a99085e1a2829.png,WIN_20260823_20_10_07_Pro_jpg,train,dce353c06345fb8ca4f1138e2dd116c620e7a8c892d3544ec3fd96b8baa31c2c,140,640,360,3,UNKNOWN
WIN_20260823_20_10_24_Pro_jpg.rf.73da3fcf65adf1d8a45bea14e97aeb19.png,WIN_20260823_20_10_24_Pro_jpg,train,875749cd38bfff58917db3c84af63776eef5a8ceca0c5ffd2ecaa3092ee136b2,140,640,360,5,UNKNOWN
WIN_20260823_20_10_28_Pro_jpg.rf.513cfc64100d40eed082d080ab1578ca.png,WIN_20260823_20_10_28_Pro_jpg,train,7468aad48201bf595614cdee8ecc2c47888b7a4ea23d1a1515b7e2e0a6ee215a,140,640,360,6,UNKNOWN
WIN_20260823_20_10_47_Pro_jpg.rf.744a7f93459b7477e626ba91eba12729.png,WIN_20260823_20_10_47_Pro_jpg,train,680685ecd1f0a8a1fa1cb3cb5feb15b523c3aa88d4107fb00f14d58d4a65cb9f,140,640,360,5,UNKNOWN
WIN_20260823_20_10_54_Pro_jpg.rf.2056ff7332ff4b3a07917f7c4279c98c.png,WIN_20260823_20_10_54_Pro_jpg,train,62f5687237a831750249d85a40be82c9736825c4bcc582d332e990ce4a94f130,140,640,360,6,UNKNOWN
WIN_20260823_20_11_03_Pro_jpg.rf.3c4e1ffaa1309af036f700a54a5a08af.png,WIN_20260823_20_11_03_Pro_jpg,train,3e528d32d0c32ae0d8e979944ec3aac1fa5eb157b98113cc661330fbd0948966,140,640,360,5,UNKNOWN
